BDATE,RACECHILD,SEX,SNAMEL,SNAMEF,SNAMEM,SOURCHID
20100109,02,1,BILLINGSLY,BOB,,ADDMAPS00001
20100110,01,1,BOWERS,KEVIN,EMERSON,ADDMAPS00002
20100110,01,1,BOWERS,KEVIN,EMERSON,ADDMAPS00002
20100110,01,1,BOWERS,KEVIN,EMERSON,ADDMAPS00002
20100110,01,1,BOWERS,KEVIN,EMERSON,ADDMAPS00002
20100124,02,2,BRAKE,KATE,,ADDMAPS00003
20100124,02,2,BRAKE,KATE,,ADDMAPS00003
20100124,02,2,BRAKE,KATE,,ADDMAPS00003
20100124,02,2,BRAKE,KELLY,,ADDMAPS00004
20100107,02,1,BRINK,ZACH,EDSON,ADDMAPS00005
20101101,02,1,BROWNSMITH,BENSON,,ADDMAPS00006
20101205,01,2,BRUCE,BONNIE,MAY,ADDMAPS00007
20101205,01,2,BRUCE,BONNIE,MAY,ADDMAPS00007
20100822,01,1,CLEMENTINE,RONALD,LAWRENCE,ADDMAPS00008
20100906,01,1,COOPER,ANDERSON,MATTHEW,ADDMAPS00009
20100801,02,1,DALLAS,DAVID,R,ADDMAPS00010
20101122,01,1,DEMPSY,BILL,,ADDMAPS00011
20101222,02,1,FRANKLIN,TROY,V,ADDMAPS00012
20100121,06,1,FUENTESPADILLO,GARY,FRANKLIN,ADDMAPS00013
20101018,02,2,GIBSON,LENA,,ADDMAPS00014
20101009,99,2,GREENTEA,SUSAN,,ADDMAPS00015
20100711,04,1,GUPTA,SAMPSON,,ADDMAPS00016
20100811,01,1,HACKER,CHRISTOPHER,,ADDMAPS00017
20101102,01,1,HAYEZ,PRESTON,,ADDMAPS00018
20100322,02,1,JACKSON,STEVEN,MARTIN,ADDMAPS00019
20101016,06,2,JANSEN,ELENA,KATE,ADDMAPS00020
20101016,06,2,JANSEN,ELLIE,MAY,ADDMAPS00021
20100915,04,1,JENKINS,SHAWN,,ADDMAPS00022
20100228,04,1,KRANK,SAM,,ADDMAPS00023
20100822,01,1,LAWYER,MILTON,,ADDMAPS00024
20101115,02,1,LORDTRAILOR,TAYLOR,,ADDMAPS00025
20100322,04,1,MAKER,MELVIN,,ADDMAPS00026
20100713,02,2,MERITT,LANA,D,ADDMAPS00027
20100612,02,2,MINSTREL,PAISLEY,Q,ADDMAPS00028
20100511,01,1,MORRISON,KEITH,,ADDMAPS00029
20100821,02,2,OHR,ADAN,,ADDMAPS00030
20100825,02,1,ONEILL,MAX,,ADDMAPS00031
20101129,06,1,PALMER,ARNOLD,,ADDMAPS00032
20100124,99,1,PLACE,CHUCK,,ADDMAPS00033
20100911,80,1,PROVINO,VANCE,JOHN,ADDMAPS00034
20100611,04,1,PUTNAM,SIMON,J,ADDMAPS00035
20100816,02,2,SANTILLI,"NANCY",,ADDMAPS00036
20100820,02,1,SHORE,BEN,,ADDMAPS00037
20100905,02,1,SINGLETON,LARRY,,ADDMAPS00038
20100913,02,1,SMITH,BRUCE,,ADDMAPS00039
20100802,01,1,SMITH,IAN,CARL,ADDMAPS00040
20100206,02,1,SMITH,JAMES,DONALD,ADDMAPS00041
20100419,01,1,SMITHBROWN,JOHN,DAVID,ADDMAPS00042
20100816,01,1,STARR,JOHNSON,,ADDMAPS00043
20100518,05,2,WILSON,CIARA,NEVEAH,ADDMAPS00044
20101115,02,1,WILSON,DAVID,,ADDMAPS00045
20100108,02,1,WILSON,DAVID,BRUCE,ADDMAPS00046
20100703,01,2,WOODS,ALLISON,CARLA,ADDMAPS00047
20100519,80,2,WOODWARD,KAREN,CATRINA,ADDMAPS00048
20100519,06,2,WOODWARD,SUSAN,LOUISE,ADDMAPS00049
20140614,02,2,DODSON,CATHY,,ADDMAPS00050
20140306,02,1,EMORY,FRANK,,ADDMAPS00051
